********************************************
HeapName:	Main Game Thread Heap
NumLeaks:	67591
********************************************
Address                Size    File
0x000000000432FC0E        8    
0x000000000432FC26       76    
0x000000000432FCFA        8    
0x000000000432FD12       40    
0x000000000432FD4A        8    
0x000000000432FD62       40    
0x000000000432FD9A       36    
0x000000000432FDFE       20    
0x000000000432FE22        8    
0x000000000432FE3A       48    
0x000000000432FE7A        8    
0x000000000432FE92        8    
0x000000000432FEAA       76    
0x000000000432FF7E        8    
0x000000000432FF96       40    
0x000000000432FFCE        8    
0x000000000432FFE6       40    
0x000000000433001E       36    
0x0000000004330082       20    
0x00000000043300A6        8    
0x00000000043300BE       48    
0x00000000043300FE        8    
0x0000000004330116        8    
0x000000000433012E       76    
0x0000000004330202        8    
0x000000000433021A       40    
0x0000000004330252        8    
0x000000000433026A       40    
0x00000000043302A2       36    
0x0000000004330306       32    d:\paspy\documents\fsgameengine\edrendererd3d\vertexformats.cpp:35
0x0000000004330336        8    
0x000000000433034E       36    
0x000000000433039A       16    
0x00000000043303BA        8    
0x00000000043303D2       48    
0x000000000433042A      264    d:\paspy\documents\fsgameengine\edgamecore\registry.h:82
0x0000000004330542        8    
0x000000000433055A       12    
0x0000000004330576      124    d:\paspy\documents\fsgameengine\edgamecore\registry.h:82
0x0000000004330602        4    
0x0000000004330616        8    
0x000000000433062E      124    d:\paspy\documents\fsgameengine\edrendererd3d\renderform.cpp:219
0x00000000043306BA        4    
0x00000000043306CE        8    
0x00000000043306E6       48    
0x0000000004330726       96    
0x00000000043307AE       96    
0x000000000433081E        8    
0x0000000004330836       36    d:\paspy\documents\fsgameengine\edutilities\contentmanager.hpp:101
0x000000000433086A        8    
0x0000000004330882       48    
0x00000000043308C2       48    
0x000000000433091A       48    
0x000000000433095A        8    
0x0000000004330972       36    d:\paspy\documents\fsgameengine\edutilities\contentmanager.hpp:101
0x00000000043309A6       24    
0x00000000043309CE       96    
0x0000000004330B22        8    
0x0000000004330B3A       48    
0x0000000004330B92       32    
0x0000000004330BDA       32    
0x0000000004330C0A        8    
0x0000000004330C22       36    d:\paspy\documents\fsgameengine\edutilities\contentmanager.hpp:58
0x0000000004330C56       16    d:\paspy\documents\fsgameengine\edrendererd3d\rendertexture2d.cpp:39
0x0000000004330E0C        8    
0x0000000004330E24       48    
0x0000000004330E7C       32    
0x0000000004330EC4       32    
0x0000000004330EF4        8    
0x0000000004330F0C       36    d:\paspy\documents\fsgameengine\edutilities\contentmanager.hpp:58
